순번,성별,생년,국적명,체류자격,학교명
400,여,1991,중국,전문학사과정,연성대학교
401,남,1991,일본,대학부설 어학원 연수,청심신학대학원대학교
402,남,1992,독일,교환학생,인하대학교
403,남,1992,중국,교환학생,충남대학교
404,여,1987,몽골,대학부설 어학원 연수,경인여자대학
405,여,1991,중국,대학부설 어학원 연수,고려대학교
406,여,1991,베트남,석사과정,국제법률경영대학원대학교
407,여,1991,캄보디아,전문학사과정,동양미래대학
408,여,1991,일본,대학부설 어학원 연수,홍익대학교
409,남,1991,중국,대학부설 어학원 연수,그리스도대학교
410,남,1990,중국,석사과정,경희대학교
411,남,1990,파키스탄,대학부설 어학원 연수,계명대학교
412,남,1991,중국,교환학생,울산대학교
413,여,1990,중국,석사과정,부산외국어대학교
414,여,1990,중국,석사과정,세종대학교
415,여,1991,중국,학사과정,동신대학교
416,여,1991,중국,석사과정,건국대학교
417,여,1991,중국,교환학생,경남대학교
418,여,1991,베트남,대학부설 어학원 연수,경남과학기술대학교
419,여,1991,중국,교환학생,경상대학교
420,여,1991,중국,학사과정,우석대학교
421,여,1991,프랑스,교환학생,울산대학교
422,여,1990,중국,학사과정,건국대학교
423,여,1990,중국,석사과정,중앙대학교
424,여,1990,일본,석사과정,고려대학교
425,남,1990,중국,대학부설 어학원 연수,전북과학대학교
426,남,1990,중국,대학부설 어학원 연수,전북과학대학교
427,여,1990,몽골,석사과정,공주대학교
428,남,1990,슬로바크,전문학사과정,영진전문대학
429,남,1990,중국,대학부설 어학원 연수,대구과학대학교
430,남,1990,중국,학사과정,동명대학교
431,남,1990,중국,석사과정,초당대학교
432,남,1990,중국,학사과정,중앙대학교
433,남,1990,체코,교환학생,서울시립대학교
434,남,1990,중국,학사과정,상명대학교
435,남,1990,중국,학사과정,경희대학교
436,여,1990,중국,석사과정,중앙대학교
437,남,1991,중국,학사과정,인하대학교
438,남,1991,말레이시아,학사과정,세명대학교
439,남,1991,중국,교환학생,강남대학교
440,남,1991,중국,석사과정,창원대학교
441,남,1992,중국,교환학생,
442,여,1992,중국,학사과정,동국대학교
443,남,1991,중국,대학부설 어학원 연수,중앙신학대학원대학교
444,남,1991,중국,대학부설 어학원 연수,경희대학교
445,남,1991,중국,학사과정,경희대학교
446,여,1992,몽골,대학부설 어학원 연수,전북대학교
447,여,1992,중국,학사과정,한림대학교
448,여,1991,멕시코,교환학생,한국외국어대학교
449,여,1991,일본,대학부설 어학원 연수,서울시립대학교
450,여,1991,몽골,학사과정,국민대학교
451,여,1991,중국,학사과정,고려대학교
452,여,1991,중국,학사과정,남서울대학교
453,여,1991,홍콩,학사과정,한국외국어대학교
454,여,1991,중국,학사과정,한양대학교
455,여,1991,한국계중국인,학사과정,경상대학교
456,여,1991,중국,학사과정,경기대학교
457,여,1991,중국,교환학생,동국대학교
458,여,1991,카자흐스탄,대학부설 어학원 연수,국민대학교
459,여,1991,중국,학사과정,한서대학교
460,여,1991,중국,석사과정,동국대학교
461,여,1991,중국,학사과정,세명대학교
462,남,1991,중국,학사과정,영산대학교
463,남,1991,중국,학사과정,국민대학교
464,남,1991,중국,학사과정,한밭대학교
