"국적","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"프랑스","남(M)","1","4","15","8","1","208","1","30"
"프랑스","여(F)","1","4","13","1","0","172","0","35"
"피지","남(M)","0","1","10","1","0","0","0","0"
"피지","여(F)","0","1","4","0","0","0","0","0"
"핀란드","남(M)","0","3","1","0","1","36","0","2"
"핀란드","여(F)","0","1","1","2","0","31","0","2"
"필리핀","남(M)","5","21","100","39","0","28","0","25"
"필리핀","여(F)","10","19","149","22","1","35","0","57"
"한국계러시아인","남(M)","0","3","0","0","0","0","0","0"
"한국계러시아인","여(F)","0","3","0","0","0","0","0","1"
"한국계중국인","남(M)","121","443","92","25","0","0","0","52"
"한국계중국인","여(F)","90","512","83","28","0","12","0","48"
"헝가리","남(M)","1","1","0","1","0","0","0","4"
"헝가리","여(F)","0","0","1","1","0","2","0","7"
"홍콩","남(M)","0","7","1","0","0","14","0","19"
"홍콩","여(F)","1","27","6","0","0","63","0","94"
