"국적","성별","유학","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"탄자니아","남(M)","61","0","18","30","12","0","1","0","12"
"탄자니아","여(F)","12","0","4","7","1","0","0","0","4"
"터키","남(M)","79","0","27","21","11","0","20","0","22"
"터키","여(F)","80","0","17","29","7","0","27","0","18"
"토고","남(M)","7","0","2","5","0","0","0","0","0"
"토고","여(F)","1","0","0","1","0","0","0","0","0"
"투르크메니스탄","남(M)","16","0","15","0","1","0","0","0","6"
"투르크메니스탄","여(F)","3","0","3","0","0","0","0","0","1"
"튀니지","남(M)","15","2","3","6","2","1","1","0","2"
"튀니지","여(F)","16","0","3","5","2","0","6","0","2"
"트리니다드토바고","남(M)","0","0","0","0","0","0","0","0","1"
"트리니다드토바고","여(F)","0","0","0","0","0","0","0","0","1"
"티모르민주공화국","남(M)","9","2","2","4","1","0","0","0","3"
"티모르민주공화국","여(F)","5","0","3","2","0","0","0","0","2"
"파나마","남(M)","6","0","3","2","1","0","0","0","1"
"파나마","여(F)","5","0","2","3","0","0","0","0","1"
"파라과이","남(M)","8","0","8","0","0","0","0","0","3"
"파라과이","여(F)","9","0","7","1","1","0","0","0","6"
"파키스탄","남(M)","705","8","26","280","385","1","5","0","86"
"파키스탄","여(F)","73","2","5","32","34","0","0","0","15"
"파푸아뉴기니","남(M)","4","0","0","4","0","0","0","0","0"
"파푸아뉴기니","여(F)","1","0","0","1","0","0","0","0","0"
"팔라우","남(M)","1","0","1","0","0","0","0","0","0"
"팔라우","여(F)","0","0","0","0","0","0","0","0","0"
"팔레스타인","남(M)","7","0","0","6","0","0","1","0","1"
"팔레스타인","여(F)","3","0","1","2","0","0","0","0","0"
"페루","남(M)","18","0","8","7","0","0","3","0","4"
"페루","여(F)","19","0","8","7","0","0","4","0","13"
"포르투갈","남(M)","7","0","0","0","0","2","5","0","1"
"포르투갈","여(F)","6","0","3","0","0","0","3","0","4"
"폴란드","남(M)","36","1","9","5","8","1","12","0","2"
"폴란드","여(F)","33","1","7","6","1","2","16","0","15"
"프랑스","남(M)","285","0","8","18","10","0","248","1","35"
"프랑스","여(F)","220","0","7","11","2","0","200","0","55"
"피지","남(M)","10","0","1","7","2","0","0","0","2"
"피지","여(F)","5","0","2","2","1","0","0","0","0"
"핀란드","남(M)","44","0","2","3","0","0","39","0","2"
"핀란드","여(F)","33","0","4","2","0","0","27","0","5"
"필리핀","남(M)","203","4","25","112","37","0","25","0","45"
"필리핀","여(F)","272","7","31","147","28","0","59","0","63"
"한국계러시아인","남(M)","1","0","1","0","0","0","0","0","0"
"한국계러시아인","여(F)","4","0","3","1","0","0","0","0","1"
"한국계중국인","남(M)","454","89","294","57","14","0","0","0","42"
"한국계중국인","여(F)","455","61","329","43","20","0","2","0","33"
"헝가리","남(M)","9","2","3","2","1","0","1","0","1"
"헝가리","여(F)","7","0","0","4","2","1","0","0","11"
"홍콩","남(M)","23","0","7","2","1","0","13","0","28"
"홍콩","여(F)","126","0","40","10","1","0","75","0","187"
