성별,연령대,국적명,체류자격,학교명
남,1990년대생,미국,학사유학,경희대학교국제캠퍼스
여,1990년대생,홍콩,학사유학,경희대학교
남,1990년대생,중국,대학부설어학원연수,중앙신학대학원대학교
남,1990년대생,베트남,석사유학,서울과학기술대학교
남,1990년대생,중국,석사유학,전북대학교
남,1990년대생,중국,학사유학,성균관대학교
남,1990년대생,중국,학사유학,부산대학교
여,1990년대생,중국,학사유학,김천대학교
여,1990년대생,중국,대학부설어학원연수,연세대학교
여,1990년대생,홍콩,대학부설어학원연수,이화여자대학교
남,1990년대생,베트남,석사유학,숭실대학교
남,1990년대생,독일,교환학생,서울대학교
여,1990년대생,중국,학사유학,경북대학교
