"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"키 리 바 시","(M)","0","0","0","0","0","0","0","0","2","2","0","8"
"키 리 바 시","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"사  모  아","(M)","0","0","0","0","0","0","0","0","0","0","0","10"
"사  모  아","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"팔  라  우","(M)","1","0","1","0","0","0","0","0","0","0","0","3"
"팔  라  우","(F)","0","0","0","0","0","0","0","0","0","0","0","4"
"나  우  루","(M)","0","0","0","0","0","0","0","0","0","0","0","5"
"나  우  루","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"통      가","(M)","0","0","0","0","0","0","0","0","0","0","0","4"
"통      가","(F)","0","0","0","0","0","0","0","0","0","0","0","2"
"미이크로네시아","(M)","0","0","0","0","0","0","0","0","0","0","0","2"
"미이크로네시아","(F)","0","0","0","0","0","0","0","0","0","0","0","3"
"바 누 아 투","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
"바 누 아 투","(F)","0","0","0","0","0","0","0","0","0","0","0","0"
"이  집  트","(M)","72","0","5","27","37","0","3","0","9","9","0","2138"
"이  집  트","(F)","24","0","6","14","4","0","0","0","5","5","0","182"
"나이지리아","(M)","121","4","32","66","19","0","0","0","32","32","0","1686"
"나이지리아","(F)","25","0","13","11","1","0","0","0","11","11","0","338"
"남아프리카 공화국","(M)","10","0","2","5","2","1","0","0","2","2","0","1094"
"남아프리카 공화국","(F)","10","0","5","5","0","0","0","0","2","2","0","1090"
"가      나","(M)","109","0","16","76","17","0","0","0","15","15","0","591"
"가      나","(F)","31","0","9","19","3","0","0","0","3","3","0","67"
"카  메  룬","(M)","149","1","35","101","12","0","0","0","40","40","0","272"
"카  메  룬","(F)","61","0","11","42","7","0","1","0","10","10","0","115"
"리  비  아","(M)","1","0","0","0","1","0","0","0","7","7","0","335"
"리  비  아","(F)","1","0","1","0","0","0","0","0","4","4","0","163"
"에티오피아","(M)","155","0","13","74","68","0","0","0","22","22","0","162"
"에티오피아","(F)","30","0","15","14","1","0","0","0","10","10","0","114"
"모  로  코","(M)","18","0","5","7","1","0","5","0","11","11","0","227"
"모  로  코","(F)","32","0","5","12","1","0","14","0","16","16","0","120"
"우  간  다","(M)","53","1","11","38","2","0","1","0","10","10","0","211"
"우  간  다","(F)","20","0","2","16","0","0","2","0","5","5","0","80"
"케      냐","(M)","71","0","26","40","5","0","0","0","18","18","0","75"
"케      냐","(F)","39","0","15","19","2","0","3","0","15","15","0","68"
"수      단","(M)","19","1","2","9","7","0","0","0","4","4","0","148"
"수      단","(F)","1","0","0","1","0","0","0","0","2","2","0","41"
"튀  니  지","(M)","16","1","2","7","3","0","3","0","3","3","0","110"
"튀  니  지","(F)","13","0","1","6","3","0","3","0","8","8","0","59"
"알  제  리","(M)","14","0","2","7","4","0","1","0","6","6","0","101"
"알  제  리","(F)","7","0","0","5","1","0","1","0","3","3","0","63"
"라이베리아","(M)","6","0","2","3","1","0","0","0","1","1","0","128"
"라이베리아","(F)","2","0","0","2","0","0","0","0","0","0","0","48"
"코트디부아르","(M)","10","0","1","7","2","0","0","0","8","8","0","98"
"코트디부아르","(F)","2","0","1","0","0","0","1","0","4","4","0","50"
"콩고민주공화국","(M)","32","0","16","13","3","0","0","0","12","12","0","69"
"콩고민주공화국","(F)","8","0","2","4","0","0","2","0","3","3","0","40"
"탄 자 니 아","(M)","62","0","17","31","14","0","0","0","13","13","0","38"
"탄 자 니 아","(F)","22","0","4","15","3","0","0","0","2","2","0","23"
"르  완  다","(M)","60","0","8","46","5","0","1","0","15","15","0","14"
"르  완  다","(F)","28","0","11","15","2","0","0","0","2","2","0","10"
"세  네  갈","(M)","9","0","2","7","0","0","0","0","3","3","0","73"
"세  네  갈","(F)","10","0","3","7","0","0","0","0","1","1","0","18"
"앙  골  라","(M)","11","0","9","2","0","0","0","0","9","9","0","42"
"앙  골  라","(F)","4","0","4","0","0","0","0","0","1","1","0","23"
"콩      고","(M)","3","0","1","1","1","0","0","0","3","3","0","32"
"콩      고","(F)","1","0","0","0","0","0","1","0","0","0","0","29"
"기      니","(M)","4","0","0","4","0","0","0","0","1","1","0","53"
"기      니","(F)","2","0","0","0","0","0","2","0","0","0","0","6"
"짐 바 브 웨","(M)","12","0","1","9","2","0","0","0","1","1","0","28"
"짐 바 브 웨","(F)","7","0","1","5","1","0","0","0","1","1","0","12"
"잠  비  아","(M)","10","1","3","5","1","0","0","0","6","6","0","20"
"잠  비  아","(F)","5","0","2","3","0","0","0","0","5","5","0","14"
"가      봉","(M)","12","0","5","2","5","0","0","0","6","6","0","18"
"가      봉","(F)","5","0","2","3","0","0","0","0","3","3","0","15"
"부  룬  디","(M)","13","0","2","8","3","0","0","0","2","2","0","9"
"부  룬  디","(F)","12","0","4","8","0","0","0","0","1","1","0","10"
"말      리","(M)","0","0","0","0","0","0","0","0","2","2","0","25"
"말      리","(F)","0","0","0","0","0","0","0","0","0","0","0","6"
"토      고","(M)","7","0","1","6","0","0","0","0","1","1","0","15"
"토      고","(F)","2","0","0","2","0","0","0","0","0","0","0","6"
"모 리 셔 스","(M)","1","0","1","0","0","0","0","0","0","0","0","14"
"모 리 셔 스","(F)","1","0","1","0","0","0","0","0","0","0","0","12"
"시에라리온","(M)","2","0","0","2","0","0","0","0","2","2","0","15"
"시에라리온","(F)","1","0","0","1","0","0","0","0","0","0","0","4"
"감  비  아","(M)","5","0","0","5","0","0","0","0","0","0","0","15"
"감  비  아","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"말  라  위","(M)","7","0","2","5","0","0","0","0","4","4","0","5"
"말  라  위","(F)","1","0","1","0","0","0","0","0","2","2","0","1"
"모 잠 비 크","(M)","6","0","1","5","0","0","0","0","0","0","0","8"
"모 잠 비 크","(F)","2","0","2","0","0","0","0","0","2","2","0","2"
"베      냉","(M)","2","0","0","2","0","0","0","0","2","2","0","11"
